0.0,0.294,1.0,1.0,0.705
0.001,0.284,9.223372036854776E15,1.002,0.725
0.003,0.276,9.223372036854776E15,1.005,0.705
0.003,0.293,3.528,1.006,0.71
0.004,0.285,7.057,1.014,0.72
0.004,0.286,1.764,1.004,0.715
0.005,0.281,1.176,1.001,0.71
0.006,0.279,1.134,1.001,0.725
0.008,0.274,1.417,1.003,0.72
0.008,0.27,1.764,1.007,0.705
0.009,0.273,1.411,1.005,0.735
0.009,0.269,1.7,1.006,0.73
0.01,0.268,1.984,1.008,0.73
0.011,0.273,1.008,1.0,0.735
0.013,0.264,2.551,1.013,0.735
0.013,0.27,1.134,1.002,0.735
0.014,0.268,1.323,1.006,0.725
0.014,0.269,1.275,1.005,0.73
0.015,0.265,1.417,1.007,0.73
0.015,0.266,1.176,1.004,0.735
0.016,0.26,3.401,1.02,0.745
0.016,0.264,1.059,1.001,0.735
0.018,0.264,1.039,1.001,0.74
0.018,0.254,3.684,1.022,0.72
0.019,0.255,1.842,1.014,0.735
0.02,0.263,1.228,1.006,0.74
0.021,0.254,2.126,1.019,0.735
0.021,0.258,1.086,1.003,0.745
0.023,0.264,1.008,1.0,0.73
0.023,0.25,1.764,1.022,0.725
0.023,0.254,1.417,1.011,0.74
0.023,0.255,1.357,1.011,0.705
0.024,0.245,2.409,1.024,0.75
0.024,0.253,1.512,1.013,0.735
0.024,0.256,1.063,1.002,0.705
0.025,0.241,2.551,1.026,0.75
0.026,0.254,1.204,1.007,0.74
0.026,0.248,1.7,1.018,0.735
0.028,0.24,1.795,1.02,0.75
0.028,0.254,1.038,1.002,0.74
0.028,0.248,1.275,1.009,0.7
0.029,0.251,1.02,1.001,0.71
0.03,0.246,1.176,1.008,0.75
0.03,0.245,1.417,1.014,0.745
0.03,0.239,3.118,1.036,0.745
0.031,0.25,1.114,1.005,0.705
0.031,0.241,1.134,1.006,0.75
0.033,0.248,1.059,1.003,0.75
0.033,0.238,1.559,1.019,0.74
0.034,0.25,1.008,1.0,0.695
0.034,0.24,1.247,1.011,0.735
0.035,0.241,1.039,1.002,0.73
0.036,0.24,1.086,1.004,0.73
0.036,0.233,2.456,1.038,0.745
0.036,0.234,1.344,1.018,0.735
0.038,0.239,1.134,1.007,0.75
0.039,0.233,1.913,1.032,0.715
0.039,0.229,2.645,1.043,0.755
0.039,0.245,1.029,1.002,0.715
0.04,0.231,1.984,1.034,0.745
0.04,0.244,1.012,1.001,0.76
0.041,0.238,1.053,1.003,0.75
0.043,0.23,1.323,1.017,0.67
0.043,0.228,1.925,1.052,0.725
0.043,0.226,2.126,1.039,0.745
0.044,0.236,1.045,1.003,0.72
0.045,0.226,1.757,1.033,0.755
0.045,0.236,1.008,1.001,0.735
0.045,0.225,2.267,1.044,0.745
0.046,0.235,1.215,1.013,0.71
0.048,0.228,1.629,1.042,0.75
0.048,0.224,2.058,1.066,0.73
0.048,0.219,2.409,1.05,0.745
0.049,0.234,1.098,1.007,0.735
0.05,0.233,1.134,1.009,0.755
0.05,0.221,1.176,1.013,0.705
0.051,0.231,1.138,1.011,0.71
0.053,0.22,2.171,1.081,0.68
0.053,0.223,1.103,1.008,0.74
0.054,0.221,1.069,1.006,0.705
0.054,0.218,2.091,1.078,0.67
0.055,0.226,1.038,1.003,0.755
0.056,0.218,1.008,1.001,0.75
0.056,0.214,2.142,1.086,0.675
0.058,0.21,2.068,1.083,0.68
0.058,0.215,2.324,1.059,0.745
0.06,0.208,1.417,1.03,0.74
0.06,0.216,1.077,1.007,0.785
0.061,0.204,1.144,1.014,0.755
0.063,0.228,1.005,1.0,0.695
0.064,0.196,1.613,1.057,0.755
0.066,0.216,1.033,1.003,0.73
0.068,0.2,1.008,1.001,0.745
0.071,0.198,1.5,1.053,0.74
0.073,0.193,1.344,1.038,0.765
0.074,0.213,1.003,1.0,0.725
0.079,0.179,1.641,1.076,0.765
0.08,0.195,1.012,1.002,0.735
0.081,0.183,1.25,1.032,0.76
0.083,0.181,1.224,1.029,0.765
0.084,0.181,1.2,1.027,0.765
0.085,0.2,1.001,1.0,0.735
0.086,0.194,1.154,1.021,0.74
0.088,0.174,1.221,1.031,0.77
0.088,0.184,1.134,1.017,0.78
0.088,0.178,1.132,1.019,0.755
0.089,0.19,1.111,1.016,0.745
0.09,0.16,1.091,1.013,0.76
0.093,0.194,1.027,1.004,0.75
0.094,0.178,1.034,1.005,0.755
0.095,0.176,1.017,1.003,0.755
0.096,0.178,1.0,1.0,0.765
0.099,0.174,1.034,1.005,0.755
0.101,0.176,1.008,1.001,0.755
0.104,0.175,1.023,1.004,0.755
0.108,0.17,1.071,1.012,0.755
0.11,0.15,1.562,1.101,0.73
0.11,0.159,1.249,1.046,0.68
0.111,0.17,1.023,1.004,0.755
0.115,0.171,1.02,1.004,0.72
0.115,0.159,1.109,1.021,0.765
0.119,0.158,1.475,1.095,0.755
0.119,0.169,1.063,1.012,0.72
0.119,0.173,1.001,1.0,0.745
0.12,0.164,1.049,1.01,0.745
0.12,0.143,1.453,1.092,0.73
0.121,0.164,1.035,1.007,0.745
0.121,0.158,1.432,1.089,0.68
0.121,0.159,1.097,1.02,0.75
0.123,0.153,1.082,1.017,0.76
0.124,0.159,1.008,1.002,0.705
0.125,0.14,1.372,1.08,0.72
0.125,0.158,1.054,1.012,0.755
0.128,0.158,1.027,1.006,0.765
0.13,0.169,1.002,1.0,0.77
0.13,0.154,1.059,1.013,0.745
0.131,0.138,1.045,1.011,0.75
0.133,0.146,1.033,1.008,0.745
0.134,0.158,1.02,1.005,0.755
0.136,0.136,1.466,1.112,0.72
0.138,0.133,1.512,1.124,0.715
0.138,0.135,1.448,1.109,0.725
0.139,0.153,1.026,1.006,0.73
0.139,0.135,1.429,1.106,0.72
0.14,0.151,1.014,1.004,0.73
0.141,0.151,1.002,1.001,0.73
0.144,0.15,1.031,1.008,0.75
0.144,0.136,1.083,1.021,0.725
0.146,0.135,1.059,1.016,0.735
0.146,0.131,1.328,1.087,0.725
0.15,0.146,1.024,1.007,0.715
0.151,0.146,1.013,1.004,0.715
0.153,0.148,1.003,1.001,0.665
0.154,0.141,1.04,1.011,0.72
0.154,0.13,1.241,1.068,0.715
0.155,0.141,1.029,1.008,0.72
0.159,0.134,1.139,1.041,0.715
0.16,0.131,1.08,1.024,0.7
0.161,0.126,1.164,1.05,0.7
0.166,0.13,1.016,1.005,0.695
0.166,0.129,1.063,1.019,0.745
0.168,0.125,1.107,1.034,0.695
0.169,0.123,1.188,1.06,0.72
0.169,0.124,1.096,1.031,0.69
0.17,0.158,1.001,1.0,0.67
0.17,0.124,1.086,1.028,0.69
0.171,0.116,2.159,1.393,0.74
0.171,0.121,1.011,1.004,0.695
0.174,0.115,2.175,1.409,0.73
0.174,0.119,1.476,1.161,0.725
0.175,0.121,1.004,1.001,0.695
0.175,0.12,1.045,1.015,0.69
0.176,0.116,1.165,1.056,0.67
0.178,0.115,1.104,1.033,0.725
0.178,0.108,2.039,1.373,0.74
0.181,0.138,1.001,1.0,0.7
0.181,0.118,1.081,1.029,0.695
0.185,0.115,1.093,1.034,0.735
0.185,0.113,1.398,1.148,0.72
0.185,0.114,1.352,1.13,0.695
0.188,0.118,1.074,1.027,0.69
0.189,0.11,1.187,1.07,0.67
0.191,0.11,1.166,1.064,0.65
0.193,0.111,1.156,1.06,0.68
0.193,0.114,1.081,1.029,0.715
0.193,0.15,1.0,1.0,0.695
0.194,0.118,1.009,1.003,0.675
0.195,0.109,1.258,1.103,0.675
0.196,0.098,1.418,1.17,0.685
0.196,0.11,1.127,1.05,0.705
0.196,0.113,1.107,1.039,0.715
0.198,0.11,1.116,1.042,0.73
0.199,0.099,1.35,1.144,0.73
0.2,0.099,1.338,1.141,0.73
0.2,0.111,1.099,1.04,0.67
0.2,0.106,1.176,1.072,0.73
0.201,0.099,1.327,1.137,0.73
0.201,0.098,1.369,1.155,0.68
0.201,0.11,1.016,1.007,0.685
0.201,0.104,1.128,1.053,0.715
0.203,0.096,1.399,1.17,0.685
0.203,0.1,1.316,1.134,0.74
0.204,0.121,1.0,1.0,0.68
0.204,0.108,1.075,1.03,0.715
0.205,0.096,1.294,1.126,0.73
0.205,0.088,1.375,1.163,0.72
0.208,0.095,1.157,1.068,0.71
0.209,0.103,1.111,1.048,0.725
0.209,0.106,1.109,1.043,0.715
0.21,0.108,1.067,1.029,0.72
0.21,0.103,1.103,1.045,0.735
0.211,0.106,1.094,1.041,0.72
0.213,0.084,1.429,1.199,0.72
0.214,0.093,1.26,1.119,0.71
0.215,0.094,1.213,1.098,0.735
0.216,0.093,1.204,1.094,0.725
0.216,0.091,1.24,1.112,0.675
0.216,0.109,1.027,1.012,0.705
0.216,0.113,1.007,1.003,0.725
0.218,0.098,1.019,1.009,0.71
0.218,0.081,1.463,1.224,0.72
0.218,0.093,1.194,1.091,0.725
0.219,0.094,1.185,1.087,0.735
0.219,0.09,1.334,1.16,0.66
0.22,0.091,1.176,1.083,0.735
0.221,0.118,1.003,1.001,0.7
0.221,0.09,1.167,1.08,0.725
0.223,0.089,1.159,1.076,0.715
0.223,0.108,1.01,1.005,0.725
0.224,0.094,1.116,1.056,0.705
0.225,0.09,1.142,1.069,0.73
0.225,0.093,1.107,1.052,0.715
0.225,0.073,1.395,1.201,0.715
0.226,0.093,1.099,1.049,0.715
0.226,0.076,1.202,1.101,0.685
0.226,0.108,1.001,1.0,0.735
0.228,0.078,1.193,1.097,0.685
0.228,0.093,1.039,1.019,0.675
0.229,0.088,1.151,1.076,0.705
0.229,0.089,1.117,1.058,0.715
0.229,0.076,1.185,1.093,0.685
0.229,0.106,1.013,1.006,0.73
0.229,0.091,1.046,1.022,0.675
0.23,0.086,1.176,1.089,0.695
0.231,0.076,1.168,1.086,0.68
0.231,0.09,1.101,1.051,0.705
0.234,0.078,1.151,1.078,0.685
0.234,0.089,1.054,1.027,0.69
0.235,0.105,1.015,1.008,0.66
0.235,0.085,1.078,1.04,0.695
0.236,0.099,1.008,1.004,0.655
0.238,0.084,1.127,1.067,0.69
0.239,0.081,1.056,1.03,0.66
0.24,0.086,1.049,1.026,0.735
0.24,0.096,1.018,1.01,0.645
0.241,0.096,1.011,1.006,0.65
0.243,0.069,1.326,1.186,0.71
0.243,0.091,1.035,1.019,0.685
0.243,0.104,1.005,1.003,0.66
0.244,0.08,1.059,1.032,0.68
0.244,0.081,1.028,1.015,0.705
0.244,0.071,1.089,1.049,0.68
0.245,0.094,1.008,1.005,0.735
0.245,0.081,1.021,1.012,0.705
0.245,0.079,1.082,1.045,0.68
